month,milestone,b2c_rev_jpy,b2b_rev_jpy,background_rev_jpy,revenue_total_jpy,fixed_cost_jpy,variable_cost_jpy,net_profit_jpy
2026-07,M0 基盤整備・B2Bヒアリング開始,0,0,0,0,200000,0,-200000
2026-08,M1 ファネル育成・制作,0,0,5000,5000,35000,0,-30000
2026-09,M2 B2Cローンチ,30000,0,5000,35000,40000,9000,-14000
2026-10,M3 ブランド蓄積,45000,0,5000,50000,40000,14000,-4000
2026-11,M4 ファネル実測・B2B DD継続,54000,0,6000,60000,45000,16000,-1000
2026-12,M5 データ標本拡張投資開始,60000,0,6000,66000,45000,18000,3000
2027-01,M6 標本拡張・法務27条確認,60000,0,7000,67000,60000,18000,-11000
2027-02,M7 3ゲート判定,66000,0,7000,73000,70000,20000,-17000
2027-03,M8 B2B初受託(割引パイロット),66000,75000,8000,149000,70000,35000,44000
2027-04,M9 楽天BAN周年・監査1件,69000,150000,8000,227000,60000,51000,116000
2027-05,M10 監査+初リテイナー,72000,250000,8000,330000,65000,72000,193000
2027-06,M11 監査+リテイナー継続,72000,250000,9000,331000,65000,72000,194000
2027-07,M12 通期レビュー・判断ゲート,75000,250000,9000,334000,70000,72000,192000
